,func,url,url_f
0,線上辦卡,/TSB/personal/credit/online-apply/online-card/index.html,https://www.taishinbank.com.tw/TSB/personal/credit/online-apply/online-card/index.html
1,MyData線上辦卡,https://www.taishinbank.com.tw/eService/CreditCardAP/apply/mydata.jsp?pc=94,https://www.taishinbank.com.tw/eService/CreditCardAP/apply/mydata.jsp?pc=94
2,繳信用卡費,/TSB/personal/credit/pay-credit-card-bill/index.html,https://www.taishinbank.com.tw/TSB/personal/credit/pay-credit-card-bill/index.html
3,調升信用卡額度,/TSB/personal/credit/loan/increase/,https://www.taishinbank.com.tw/TSB/personal/credit/loan/increase/
4,信用卡總覽,/TSB/personal/credit/intro/overview/,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/
5,信用卡推薦,/TSB/personal/credit/intro/choose/,https://www.taishinbank.com.tw/TSB/personal/credit/intro/choose/
6,簽帳金融卡,/TSB/personal/credit/intro/payment/,https://www.taishinbank.com.tw/TSB/personal/credit/intro/payment/
7,信用卡權益,/TSB/personal/credit/intro/rights/,https://www.taishinbank.com.tw/TSB/personal/credit/intro/rights/
8,刷卡優惠,/TSB/personal/credit/discount/favorable/,https://www.taishinbank.com.tw/TSB/personal/credit/discount/favorable/
9,活動登錄,/TSB/personal/credit/discount/active/,https://www.taishinbank.com.tw/TSB/personal/credit/discount/active/
10,紅利點數,/TSB/personal/credit/discount/reward/,https://www.taishinbank.com.tw/TSB/personal/credit/discount/reward/
11,生活大師,/TSB/personal/credit/discount/life/,https://www.taishinbank.com.tw/TSB/personal/credit/discount/life/
12,分期0利率/特約商店,/TSB/personal/credit/discount/special-store/,https://www.taishinbank.com.tw/TSB/personal/credit/discount/special-store/
13,線上辦卡,/TSB/personal/credit/online-apply/card/,https://www.taishinbank.com.tw/TSB/personal/credit/online-apply/card/
14,信用卡線上補件,/TSB/personal/credit/online-apply/patch/,https://www.taishinbank.com.tw/TSB/personal/credit/online-apply/patch/
15,辦卡進度,/TSB/personal/credit/online-apply/inquire/,https://www.taishinbank.com.tw/TSB/personal/credit/online-apply/inquire/
16,首刷禮查詢,/TSB/personal/credit/online-apply/creditcard-Churner/,https://www.taishinbank.com.tw/TSB/personal/credit/online-apply/creditcard-Churner/
17,申辦電子/行動帳單,/TSB/personal/credit/online-apply/e-bill/,https://www.taishinbank.com.tw/TSB/personal/credit/online-apply/e-bill/
18,繳納生活帳單,/TSB/personal/credit/online-apply/payment/,https://www.taishinbank.com.tw/TSB/personal/credit/online-apply/payment/
19,信用卡收單服務,/TSB/personal/credit/online-apply/acquirer-service/,https://www.taishinbank.com.tw/TSB/personal/credit/online-apply/acquirer-service/
20,調升信用卡額度,/TSB/personal/credit/loan/increase/,https://www.taishinbank.com.tw/TSB/personal/credit/loan/increase/
21,消費分期,/TSB/personal/credit/loan/staging/,https://www.taishinbank.com.tw/TSB/personal/credit/loan/staging/
22,單筆預借現金,/TSB/personal/credit/loan/Cash-advance/,https://www.taishinbank.com.tw/TSB/personal/credit/loan/Cash-advance/
23,分期預借現金 <br>(吉時金),/TSB/personal/credit/loan/Installment-cash/,https://www.taishinbank.com.tw/TSB/personal/credit/loan/Installment-cash/
24,卡費代償,/TSB/personal/credit/loan/balance/,https://www.taishinbank.com.tw/TSB/personal/credit/loan/balance/
25,簽署分期約定書,/TSB/personal/credit/loan/agreement/,https://www.taishinbank.com.tw/TSB/personal/credit/loan/agreement/
26,外籍人士辦卡,/TSB/personal/credit/-00001/foreigner-card/,https://www.taishinbank.com.tw/TSB/personal/credit/-00001/foreigner-card/
27,信用卡爭議款,/TSB/personal/credit/-00001/card-spending-dispute/,https://www.taishinbank.com.tw/TSB/personal/credit/-00001/card-spending-dispute/
28,學生辦卡資訊,/TSB/personal/credit/-00001/student-apply-creditcard/,https://www.taishinbank.com.tw/TSB/personal/credit/-00001/student-apply-creditcard/
29,整合式線上開戶,https://www.taishinbank.com.tw/eService/InteAcct/,https://www.taishinbank.com.tw/eService/InteAcct/
30,匯率查詢,/TSB/personal/deposit/lookup/realtime/,https://www.taishinbank.com.tw/TSB/personal/deposit/lookup/realtime/
31,利率查詢,/TSB/personal/deposit/lookup/NTD/,https://www.taishinbank.com.tw/TSB/personal/deposit/lookup/NTD/
32,換匯試算,https://www.taishinbank.com.tw/TSB/personal/trial/foreign/,https://www.taishinbank.com.tw/TSB/personal/trial/foreign/
33,活期存款,/TSB/personal/deposit/twd/demand-deposit/,https://www.taishinbank.com.tw/TSB/personal/deposit/twd/demand-deposit/
34,定期存款,/TSB/personal/deposit/twd/time-deposit/,https://www.taishinbank.com.tw/TSB/personal/deposit/twd/time-deposit/
35,綜合存款,/TSB/personal/deposit/twd/comprehensive-deposit/,https://www.taishinbank.com.tw/TSB/personal/deposit/twd/comprehensive-deposit/
36,卡片介紹,/TSB/personal/deposit/debit-card/card-list/,https://www.taishinbank.com.tw/TSB/personal/deposit/debit-card/card-list/
37,消費扣款與跨國提款,/TSB/personal/deposit/debit-card/overseas-withdraw-cash-and-payment/,https://www.taishinbank.com.tw/TSB/personal/deposit/debit-card/overseas-withdraw-cash-and-payment/
38,外幣存款,/TSB/personal/deposit/foreign-service/current-account/,https://www.taishinbank.com.tw/TSB/personal/deposit/foreign-service/current-account/
39,外幣匯款,/TSB/personal/deposit/foreign-service/outward-remittance/,https://www.taishinbank.com.tw/TSB/personal/deposit/foreign-service/outward-remittance/
40,外幣現鈔,/TSB/personal/deposit/foreign-service/travel-and-check/,https://www.taishinbank.com.tw/TSB/personal/deposit/foreign-service/travel-and-check/
41,光票託收 /買入,/TSB/personal/deposit/foreign-service/ticket-trust-buy/,https://www.taishinbank.com.tw/TSB/personal/deposit/foreign-service/ticket-trust-buy/
42,外幣專欄,/TSB/personal/deposit/foreign-service/column/,https://www.taishinbank.com.tw/TSB/personal/deposit/foreign-service/column/
43,iLoan線上平台,https://tsbk.tw/G6BGK/,https://www.taishinbank.com.twhttps://tsbk.tw/G6BGK/
44,法定揭露事項,/TSB/personal/common/legal-disclaimers/index.html,https://www.taishinbank.com.tw/TSB/personal/common/legal-disclaimers/index.html
45,臺幣放款利率,/TSB/personal/loan/ntd-loan-rate/detail/,https://www.taishinbank.com.tw/TSB/personal/loan/ntd-loan-rate/detail/
46,適合我的方案,/TSB/personal/loan/house/my-plan/,https://www.taishinbank.com.tw/TSB/personal/loan/house/my-plan/
47,線上申請房貸,/TSB/personal/loan/house/online-application/,https://www.taishinbank.com.tw/TSB/personal/loan/house/online-application/
48,房屋貸款試算,/TSB/personal/loan/house/pricing-service/,https://www.taishinbank.com.tw/TSB/personal/loan/house/pricing-service/
49,安居樂齡房貸,/TSB/personal/loan/house/elderly-age/,https://www.taishinbank.com.tw/TSB/personal/loan/house/elderly-age/
50,適合我的方案,/TSB/personal/loan/car/my-plan/,https://www.taishinbank.com.tw/TSB/personal/loan/car/my-plan/
51,線上申請車貸,/TSB/personal/loan/car/online-application/,https://www.taishinbank.com.tw/TSB/personal/loan/car/online-application/
52,車貸月付金試算,/TSB/personal/loan/car/trial/,https://www.taishinbank.com.tw/TSB/personal/loan/car/trial/
53,適合我的方案,/TSB/personal/loan/credit/my-plan/,https://www.taishinbank.com.tw/TSB/personal/loan/credit/my-plan/
54,信貸線上申請,/TSB/personal/loan/credit/apply-online/,https://www.taishinbank.com.tw/TSB/personal/loan/credit/apply-online/
55,一分鐘試算,/TSB/personal/loan/credit/one-minute-trial-limit/,https://www.taishinbank.com.tw/TSB/personal/loan/credit/one-minute-trial-limit/
56,台新薪轉申請,/TSB/personal/loan/credit/payroll/,https://www.taishinbank.com.tw/TSB/personal/loan/credit/payroll/
57,點點貸申請,/TSB/personal/loan/credit/pploan/,https://www.taishinbank.com.tw/TSB/personal/loan/credit/pploan/
58,線上對保,/TSB/personal/loan/credit/identity-verification/,https://www.taishinbank.com.tw/TSB/personal/loan/credit/identity-verification/
59,線上補件,/TSB/personal/loan/credit/additional-modal/,https://www.taishinbank.com.tw/TSB/personal/loan/credit/additional-modal/
60,線上查詢,/TSB/personal/loan/credit/check-online/,https://www.taishinbank.com.tw/TSB/personal/loan/credit/check-online/
61,股票質借貸款,/TSB/personal/loan/stock-fund/stock/,https://www.taishinbank.com.tw/TSB/personal/loan/stock-fund/stock/
62,特定金錢信託受益權質借貸款,/TSB/personal/loan/stock-fund/money/,https://www.taishinbank.com.tw/TSB/personal/loan/stock-fund/money/
63,現金卡,/TSB/personal/loan/stock-fund/card/story-cash-card-product-features/,https://www.taishinbank.com.tw/TSB/personal/loan/stock-fund/card/story-cash-card-product-features/
64,台新 i 理財,https://www.taishinbank.com.tw/invst/index.html,https://www.taishinbank.com.tw/invst/index.html
65,智多新,https://roboking.taishinbank.com.tw/RAS?utm_source=ts&utm_medium=ob&utm_content=text_ron&utm_campaign=at_roboking,https://www.taishinbank.com.twhttps://roboking.taishinbank.com.tw/RAS?utm_source=ts&utm_medium=ob&utm_content=text_ron&utm_campaign=at_roboking
66,基金介紹,/TSB/personal/investment/fund/fund/,https://www.taishinbank.com.tw/TSB/personal/investment/fund/fund/
67,基金搜尋/淨值查詢,/TSB/personal/investment/fund/found-search/,https://www.taishinbank.com.tw/TSB/personal/investment/fund/found-search/
68,上選基金,/TSB/personal/investment/fund/selective-found/,https://www.taishinbank.com.tw/TSB/personal/investment/fund/selective-found/
69,基金公告,/TSB/personal/investment/fund/found-news/,https://www.taishinbank.com.tw/TSB/personal/investment/fund/found-news/
70,集合管理帳戶,/TSB/personal/investment/fund/money-manage/,https://www.taishinbank.com.tw/TSB/personal/investment/fund/money-manage/
71,海外債券,/TSB/personal/investment/offshore-bond/offshore-bond/,https://www.taishinbank.com.tw/TSB/personal/investment/offshore-bond/offshore-bond/
72,外國ETF,/TSB/personal/investment/offshore-bond/foreign-ETF/,https://www.taishinbank.com.tw/TSB/personal/investment/offshore-bond/foreign-ETF/
73,外國股票,/TSB/personal/investment/offshore-bond/foreign-stock/,https://www.taishinbank.com.tw/TSB/personal/investment/offshore-bond/foreign-stock/
74,其他外國有價證券,/TSB/personal/investment/offshore-bond/other-offshore-bond/,https://www.taishinbank.com.tw/TSB/personal/investment/offshore-bond/other-offshore-bond/
75,市場資訊,/TSB/personal/investment/offshore-bond/market-info/,https://www.taishinbank.com.tw/TSB/personal/investment/offshore-bond/market-info/
76,產品總覽/淨值查詢,/TSB/personal/investment/offshore-bond/product-overview_net-search/,https://www.taishinbank.com.tw/TSB/personal/investment/offshore-bond/product-overview_net-search/
77,外國ETF通路報酬揭露,/TSB/personal/investment/offshore-bond/etf-pay-messag/,https://www.taishinbank.com.tw/TSB/personal/investment/offshore-bond/etf-pay-messag/
78,境外結構型商品,/TSB/personal/investment/structure/offshore-structured-products/,https://www.taishinbank.com.tw/TSB/personal/investment/structure/offshore-structured-products/
79,境內結構型商品(銀行發行),/TSB/personal/investment/structure/structured-products-bank-issue/,https://www.taishinbank.com.tw/TSB/personal/investment/structure/structured-products-bank-issue/
80,境內結構型商品(證券發行),/TSB/personal/investment/structure/structured-products-securities-issuance/,https://www.taishinbank.com.tw/TSB/personal/investment/structure/structured-products-securities-issuance/
81,衍生性商品,/TSB/personal/investment/more-invest-products/financial-derivatives/,https://www.taishinbank.com.tw/TSB/personal/investment/more-invest-products/financial-derivatives/
82,黃金帳戶,/TSB/personal/investment/more-invest-products/gold-account/,https://www.taishinbank.com.tw/TSB/personal/investment/more-invest-products/gold-account/
83,票債券,/TSB/personal/investment/more-invest-products/bills-and-bonds/,https://www.taishinbank.com.tw/TSB/personal/investment/more-invest-products/bills-and-bonds/
84,證券,/TSB/personal/investment/more-invest-products/securities/product-description/,https://www.taishinbank.com.tw/TSB/personal/investment/more-invest-products/securities/product-description/
85,產品介紹,/TSB/personal/investment/trust-planning/trust-intro-planning/,https://www.taishinbank.com.tw/TSB/personal/investment/trust-planning/trust-intro-planning/
86,稅務新知,/TSB/personal/investment/trust-planning/tax/,https://www.taishinbank.com.tw/TSB/personal/investment/trust-planning/tax/
87,公益信託公告,/TSB/personal/investment/trust-planning/charitable-trust/,https://www.taishinbank.com.tw/TSB/personal/investment/trust-planning/charitable-trust/
88,預收款信託公告,/TSB/personal/investment/trust-planning/trust-of-money/,https://www.taishinbank.com.tw/TSB/personal/investment/trust-planning/trust-of-money/
89,e指Fun心保,https://www.taishinbank.com.tw/eService/insurance/index.jsp?utm_source=ts&utm_medium=ob&utm_content=banner_efunins&utm_campaign=ia,https://www.taishinbank.com.tw/eService/insurance/index.jsp?utm_source=ts&utm_medium=ob&utm_content=banner_efunins&utm_campaign=ia
90,認識保險,/TSB/personal/insurance/choose-insurance/understanding-of-insurance/,https://www.taishinbank.com.tw/TSB/personal/insurance/choose-insurance/understanding-of-insurance/
91,自由單身族,/TSB/personal/insurance/choose-insurance/single/,https://www.taishinbank.com.tw/TSB/personal/insurance/choose-insurance/single/
92,新婚甜蜜小家庭族,/TSB/personal/insurance/choose-insurance/couple/,https://www.taishinbank.com.tw/TSB/personal/insurance/choose-insurance/couple/
93,美滿壯年族,/TSB/personal/insurance/choose-insurance/parents/,https://www.taishinbank.com.tw/TSB/personal/insurance/choose-insurance/parents/
94,退休銀髮族,/TSB/personal/insurance/choose-insurance/retiree/,https://www.taishinbank.com.tw/TSB/personal/insurance/choose-insurance/retiree/
95,投資型保險,/TSB/personal/insurance/product/investment-insurance/,https://www.taishinbank.com.tw/TSB/personal/insurance/product/investment-insurance/
96,儲蓄型保險,/TSB/personal/insurance/product/savings-oriented-product/,https://www.taishinbank.com.tw/TSB/personal/insurance/product/savings-oriented-product/
97,保障型保險,/TSB/personal/insurance/product/protection-oriented-product/,https://www.taishinbank.com.tw/TSB/personal/insurance/product/protection-oriented-product/
98,健康/意外險,/TSB/personal/insurance/product/health-insurance-and-accident-insurance/,https://www.taishinbank.com.tw/TSB/personal/insurance/product/health-insurance-and-accident-insurance/
99,房貸壽險,/TSB/personal/insurance/product/mortgage-life-insurance/,https://www.taishinbank.com.tw/TSB/personal/insurance/product/mortgage-life-insurance/
100,數位保險,/TSB/personal/insurance/product/digital-insurance/,https://www.taishinbank.com.tw/TSB/personal/insurance/product/digital-insurance/
101,e指Fun心保,/TSB/personal/insurance/internet/taishin-insurance/,https://www.taishinbank.com.tw/TSB/personal/insurance/internet/taishin-insurance/
102,案件查詢,/TSB/personal/insurance/internet/progress/,https://www.taishinbank.com.tw/TSB/personal/insurance/internet/progress/
